Age,price_age,selling_price,km_driven,owner
13,165466.0097,60000,70000,First Owner
13,165466.0097,135000,50000,First Owner
8,383616.7757,600000,100000,First Owner
3,736892.2615,250000,46000,First Owner
6,518887.0548,450000,141000,Second Owner
13,165466.0097,140000,125000,First Owner
4,643706.7143,550000,25000,First Owner
6,518887.0548,240000,60000,Second Owner
5,507648.5144,850000,25000,First Owner
3,736892.2615,365000,78000,First Owner
5,507648.5144,260000,35000,First Owner
6,518887.0548,250000,100000,First Owner
2,823822.0285,1650000,25000,First Owner
5,507648.5144,585000,24000,First Owner
1,870222.1961,1195000,5000,First Owner
7,441215.578,390000,33000,Second Owner
6,518887.0548,1964999,28000,First Owner
7,441215.578,1425000,59000,First Owner
2,823822.0285,975000,4500,First Owner
9,298903.3151,1190000,175900,First Owner
2,823822.0285,930000,14500,First Owner
2,823822.0285,525000,15000,First Owner
7,441215.578,1735000,50000,First Owner
8,383616.7757,1375000,33800,Second Owner
9,298903.3151,450000,130400,Second Owner
4,643706.7143,900000,50000,First Owner
5,507648.5144,1300000,80000,First Owner
1,870222.1961,1400000,10000,First Owner
10,278209.7113,850000,119000,First Owner
7,441215.578,1550000,75800,Second Owner
11,242653.8077,1250000,78000,Third Owner
8,383616.7757,625000,40000,First Owner
6,518887.0548,1050000,50000,First Owner
6,518887.0548,560000,74000,Second Owner
6,518887.0548,290000,64000,Second Owner
8,383616.7757,275000,60000,Second Owner
11,242653.8077,411000,120000,Second Owner
11,242653.8077,150000,79000,Third Owner
1,870222.1961,500000,15000,First Owner
14,153494.2184,100000,80000,First Owner
3,736892.2615,725000,18500,First Owner
2,823822.0285,401000,10200,First Owner
2,823822.0285,750000,29000,First Owner
2,823822.0285,310000,28000,First Owner
4,643706.7143,665000,46000,First Owner
6,518887.0548,465000,70000,First Owner
8,383616.7757,160000,60000,Second Owner
24,225000,250000,35000,Second Owner
6,518887.0548,675000,90000,First Owner
7,441215.578,300000,80000,First Owner
15,114381.1897,70000,80000,First Owner
6,518887.0548,240000,73300,Second Owner
6,518887.0548,525000,92000,First Owner
11,242653.8077,151000,66764,Second Owner
11,242653.8077,140000,100000,First Owner
10,278209.7113,280000,350000,Second Owner
9,298903.3151,350000,230000,First Owner
3,736892.2615,570000,60000,First Owner
2,823822.0285,300000,31000,First Owner
13,165466.0097,100000,39000,First Owner
11,242653.8077,500000,120000,Third Owner
14,153494.2184,130000,110000,Third Owner
3,736892.2615,925000,35000,First Owner
2,823822.0285,750000,60000,First Owner
13,165466.0097,200000,54000,Second Owner
10,278209.7113,248000,63000,Second Owner
6,518887.0548,450000,120000,Second Owner
15,114381.1897,80000,120000,Third Owner
6,518887.0548,650000,76000,Second Owner
5,507648.5144,450000,80000,First Owner
1,870222.1961,650000,25000,First Owner
4,643706.7143,495000,11958,First Owner
5,507648.5144,371000,20000,First Owner
3,736892.2615,1025000,9000,First Owner
3,736892.2615,8150000,6500,First Owner
5,507648.5144,750000,70000,First Owner
7,441215.578,600000,120000,First Owner
13,165466.0097,80000,58000,Second Owner
7,441215.578,325000,62200,First Owner
6,518887.0548,1470000,34000,Second Owner
5,507648.5144,350000,53000,Second Owner
7,441215.578,2800000,49000,First Owner
3,736892.2615,210000,15000,Second Owner
7,441215.578,450000,50000,First Owner
7,441215.578,1150000,53000,First Owner
11,242653.8077,210000,63500,First Owner
2,823822.0285,4500000,9800,First Owner
3,736892.2615,2750000,13000,First Owner
2,823822.0285,1975000,21000,First Owner
12,179747.4918,175000,29173,First Owner
8,383616.7757,2500000,48000,First Owner
3,736892.2615,628000,120000,First Owner
10,278209.7113,600000,100000,First Owner
3,736892.2615,399000,30000,First Owner
2,823822.0285,750000,87000,First Owner
1,870222.1961,750000,15000,First Owner
3,736892.2615,315000,16000,First Owner
8,383616.7757,600000,60000,First Owner
9,298903.3151,250000,110000,Third Owner
3,736892.2615,350000,25000,First Owner
4,643706.7143,780000,60000,First Owner
6,518887.0548,434000,79350,Second Owner
4,643706.7143,690000,80000,First Owner
6,518887.0548,555000,90000,Second Owner
13,165466.0097,120000,90000,Second Owner
6,518887.0548,500000,120000,Second Owner
7,441215.578,165000,60000,Second Owner
16,125530.303,95000,50000,First Owner
